Rank,Song,Artist,Streams,Days,Country,Change,Streams_Int
1,Posso At No Te Dar Flores,Dj Japa Nk,"2,336,768",53.0,BR,0,2336768
2,Sahiba,Aditya Rikhari,"1,525,988",132.0,IN,0,1525988
3,The Fate Of Ophelia,Taylor Swift,"1,452,552",39.0,US,0,1452552
4,Golden,Huntr/X,"1,267,645",142.0,US,0,1267645
5,Haseen,Talwiinder,"1,182,817",165.0,IN,0,1182817
6,Man I Need,Olivia Dean,"1,109,580",83.0,US,0,1109580
7,Me Postou No Daily,Mc Gp,"1,084,658",44.0,BR,+2,1084658
8,Sequncia Feiticeira,Pedro Sampaio,"1,006,029",71.0,BR,+2,1006029
9,Opalite,Taylor Swift,"1,000,155",39.0,US,0,1000155
10,P Do Pecado,Grupo Menos É Mais,"998,839",194.0,BR,-2,998839
11,Finding Her,Kushagra,"985,629",251.0,IN,+1,985629
12,For A Reason,Karan Aujla,"971,506",81.0,IN,-1,971506
13,Im Done,Maan Panu,"965,609",16.0,IN,+1,965609
14,Tubares,Diego & Victor Hugo,"924,372",270.0,BR,-2,924372
15,Saiyaara,Tanishk Bagchi,"912,874",25.0,IN,-1,912874
16,Back To Friends,Sombr,"870,245",238.0,US,0,870245
17,So Easy,Olivia Dean,"796,296",45.0,US,+5,796296
18,Ordinary,Alex Warren,"774,459",277.0,US,0,774459
19,Ishq,Faheem Abdullah,"770,209",535.0,IN,0,770209
20,Famosinha,Dj Caio Vieira,"764,367",180.0,BR,+3,764367
21,Eu Me Apaixonei,Vitinho Imperador,"761,242",83.0,BR,0,761242
22,All I Want For Christmas Is You,Mariah Carey,"756,198",552.0,US,-2,756198
23,Rockin Around The Christmas Tree,Brenda Lee,"750,220",456.0,US,-1,750220
24,Jigar,Sachin,"747,910",740.0,IN,0,747910
25,Pela Ltima Vez,Grupo Menos É Mais,"707,055",81.0,BR,-2,707055
26,Khayaal,Talwiinder,"703,919",212.0,IN,+1,703919
27,Se Eu Te Perdoar,Clayton & Romário,"700,071",60.0,BR,+2,700071
28,Last Christmas,Wham!,"693,910",441.0,US,+2,693910
29,I Run,Haven.,"693,191",6.0,US,+30,693191
30,Jo Tum Mere Ho,Anuv Jain,"691,732",458.0,IN,-1,691732
31,Sweater Weather,The Neighbourhood,"687,639",2098.0,US,+1,687639
32,Dracula,Tame Impala,"687,294",46.0,US,+3,687294
33,Deixa Eu,Murilo Huff,"684,817",88.0,BR,-2,684817
34,Mann Mera,Gajendra Verma,"663,082",1206.0,IN,+1,663082
35,Iris,The Goo Goo Dolls,"661,028",616.0,US,+6,661028
36,Your Idol,Saja Boys,"658,208",142.0,US,-5,658208
37,Elizabeth Taylor,Taylor Swift,"657,924",39.0,US,-2,657924
38,I Got Better,Morgan Wallen,"654,406",179.0,US,+4,654406
39,Travelin Soldier,Cody Johnson,"649,900",4.0,US,+1,649900
40,Father Figure,Taylor Swift,"641,196",39.0,US,-4,641196
41,Soda Pop,Saja Boys,"637,310",141.0,US,-11,637310
42,Dreams,Fleetwood Mac,"629,431",1769.0,US,+2,629431
43,Deewaniyat,Vishal Mishra,"629,387",67.0,IN,+1,629387
44,Arz Kiya Hai  Coke Studio Bharat,Anuv Jain,"627,007",78.0,IN,+2,627007
45,Creep,Radiohead,"622,480",529.0,US,+3,622480
46,Ltima Saudade,Henrique & Juliano,"610,635",410.0,BR,+1,610635
47,Jingle Bell Rock,Bobby Helms,"607,921",460.0,US,-5,607921
48,Ama Um Maloqueiro,Rafa E Junior,"607,684",171.0,BR,+4,607684
49,Apaga Apaga Apaga,Danilo E Davi,"600,590",364.0,BR,+1,600590
50,Man I Need,Olivia Dean,"599,766",88.0,GB,0,599766
51,Tere Bina,A.R. Rahman,"598,783",449.0,IN,0,598783
52,Birds Of A Feather,Billie Eilish,"595,587",543.0,US,0,595587
53,Oorum Blood,Sai Abhyankkar,"594,929",71.0,IN,-4,594929
54,Kashish,Ashish Bhatia,"582,775",55.0,IN,+2,582775
55,Love Me Not,Ravyn Lenae,"577,988",247.0,US,+2,577988
56,Iluso De Tica,Matheus & Kauan,"577,676",291.0,BR,+1,577676
57,Sienna,The Marías,"575,179",137.0,US,+14,575179
58,No One Noticed,The Marías,"574,556",451.0,US,+8,574556
59,Where Is My Husband,Raye,"574,066",51.0,US,0,574066
60,How Its Done,Huntr/X,"570,953",141.0,US,-12,570953
61,Tum Ho Toh,Vishal Mishra,"569,737",115.0,IN,+4,569737
62,Naam Chale,Vikram Sarkar,"564,779",117.0,IN,-2,564779
63,Tit For Tat,Tate Mcrae,"561,806",46.0,US,+2,561806
64,What It Sounds Like,Huntr/X,"557,560",141.0,US,-9,557560
65,Sparks,Coldplay,"556,916",493.0,US,+14,556916
66,The Fate Of Ophelia,Taylor Swift,"555,488",39.0,DE,0,555488
67,Santa Tell Me,Ariana Grande,"554,625",454.0,US,-7,554625
68,Parampara,Sachet,"552,897",387.0,IN,-2,552897
69,Mr Brightside,The Killers,"550,143",1898.0,US,-5,550143
70,Corao Partido,Grupo Menos É Mais,"548,756",436.0,BR,-5,548756
71,Baqueado,Panda,"547,839",218.0,BR,-3,547839
72,Samjho Na,Aditya Rikhari,"547,420",934.0,IN,-1,547420
73,Boyfriend,Karan Aujla,"545,131",81.0,IN,+2,545131
74,Paro,Aditya Rikhari,"545,055",253.0,IN,-2,545055
75,Choosin Texas,Ella Langley,"543,383",25.0,US,+8,543383
76,T Na Brasilia Com O Zigo,Dj Zigão,"540,780",45.0,BR,+9,540780
77,Eu Vou Na Sua Casa,Felipe Amorim,"540,011",142.0,BR,0,540011
78,What I Want,Morgan Wallen,"536,883",179.0,US,+1,536883
79,No Pole,Don Toliver,"536,673",389.0,US,-3,536673
80,Ehsaas,Faheem Abdullah,"530,715",127.0,IN,+1,530715
81,Talvez Voc Precise De Mim,Veigh,"529,411",137.0,BR,+16,529411
82,Undressed,Sombr,"526,760",230.0,US,+7,526760
83,Timeless,The Weeknd,"525,613",410.0,US,+10,525613
84,Manchild,Sabrina Carpenter,"523,893",158.0,US,-10,523893
85,12 To 12,Sombr,"520,568",106.0,US,+7,520568
86,The Life Of A Showgirl,Taylor Swift,"517,559",39.0,US,-9,517559
87,Agar Tum Saath Ho,Alka Yagnik,"517,255",2231.0,IN,-2,517255
88,Wih Lit,Taylor Swift,"515,286",39.0,US,-4,515286
89,High On You,Jind Universe,"510,887",130.0,IN,+1,510887
90,No Broke Boys,Disco Lines,"504,943",148.0,US,-6,504943
91,Its The Most Wonderful Time Of The Year,Andy Williams,"500,260",448.0,US,-3,500260
92,Free,Rumi,"497,304",141.0,US,-10,497304
93,Humdard,Arijit Singh,"496,360",1950.0,IN,+1,496360
94,Saudade De Quem Eu Sou,Henrique & Juliano,"491,934",242.0,BR,-3,491934
95,Ye Tune Kya Kiya,Pritam,"485,325",641.0,IN,-2,485325
96,Actually Romantic,Taylor Swift,"483,754",39.0,US,0,483754
97,Tears,Sabrina Carpenter,"481,006",74.0,US,+3,481006
98,505,Arctic Monkeys,"480,112",1700.0,US,+9,480112
99,Die With A Smile,Lady Gaga,"480,007",452.0,US,+2,480007
100,Raat Bhar,Aditya Rikhari,"479,147",14.0,IN,+2,479147
101,Pink Pony Club,Chappell Roan,"478,353",524.0,US,-7,478353
102,The Christmas Song,Nat King Cole,"477,408",317.0,US,+4,477408
103,When Did You Get Hot,Sabrina Carpenter,"475,103",74.0,US,+2,475103
104,Worst Way,Riley Green,"472,055",307.0,US,+6,472055
105,I Remember Everything,Zach Bryan,"470,694",808.0,US,+7,470694
106,Its Beginning To Look A Lot Like Christmas,Michael Bublé,"469,455",463.0,US,+1,469455
107,Wood,Taylor Swift,"467,208",39.0,US,-3,467208
108,Takedown,Huntr/X,"467,007",140.0,US,-27,467007
109,Underneath The Tree,Kelly Clarkson,"466,148",296.0,US,-6,466148
110,Im The Problem,Morgan Wallen,"465,968",284.0,US,-1,465968
111,Gabriela,Katseye,"463,090",144.0,US,-11,463090
112,Thodi Si Daaru,Ap Dhillon,"462,795",104.0,IN,-1,462795
113,The Fate Of Ophelia,Taylor Swift,"459,744",39.0,BR,+28,459744
114,Dooron Dooron,Paresh Pahuja,"459,451",39.0,IN,+1,459451
115,The Fate Of Ophelia,Taylor Swift,"456,359",39.0,GB,0,456359
116,Daisies,Justin Bieber,"451,242",123.0,US,+7,451242
117,Past Wont Leave My Bed,Joji,"451,225",4.0,US,+2,451225
118,The Wreck Of The Edmund Fitzgerald,Gordon Lightfoot,"451,211",1.0,US,0,451211
119,Tere Liye,Atif Aslam,"450,616",201.0,IN,-2,450616
120,Let Down,Radiohead,"449,811",177.0,US,+11,449811
121,Escondendo O Ouro,Zé Neto & Cristiano,"445,355",172.0,BR,-2,445355
122,Lose Control,Teddy Swims,"445,312",734.0,US,-5,445312
123,Tu,Talwiinder,"442,758",10.0,IN,+7,442758
124,Sailor Song,Gigi Perez,"442,617",468.0,US,+3,442617
125,Folded,Kehlani,"441,555",103.0,US,+13,441555
126,Eu Te Seguro,Panda,"441,145",52.0,BR,0,441145
127,Tere Ishk Mein,A.R. Rahman,"438,442",21.0,IN,+10,438442
128,Luther,Kendrick Lamar,"437,989",354.0,US,-6,437989
129,Nice To Each Other,Olivia Dean,"436,255",73.0,US,+20,436255
130,Barbaad,The Rish,"433,632",116.0,IN,0,433632
131,Parampara,Sachet,"430,172",116.0,IN,+3,430172
132,House Again,Hudson Westbrook,"428,482",223.0,US,+12,428482
133,Something In The Orange,Zach Bryan,"427,767",1298.0,US,+17,427767
134,Beautiful Things,Benson Boone,"427,675",662.0,US,-7,427675
135,Cancelled,Taylor Swift,"427,143",39.0,US,-10,427143
136,Feel Good Inc,Gorillaz,"424,761",324.0,US,-2,424761
137,Sports Car,Tate Mcrae,"424,428",291.0,US,-4,424428
138,Ruin The Friendship,Taylor Swift,"424,312",39.0,US,-6,424312
139,Pixelated Kisses,Joji,"423,542",28.0,US,+7,423542
140,Sirra,Guru Randhawa,"423,472",117.0,IN,-4,423472
141,You Should Probably Leave,Chris Stapleton,"422,905",834.0,US,0,422905
142,Desliza,Léo Santana,"420,854",100.0,BR,+9,420854
143,Jhol,Maanu,"419,232",214.0,IN,-4,419232
144,Kaise Hua,Vishal Mishra,"417,375",2341.0,IN,-3,417375
145,Wildflower,Billie Eilish,"416,986",543.0,US,+18,416986
146,Dhundhala,Yashraj,"416,642",133.0,IN,+2,416642
147,Husn,Anuv Jain,"414,447",711.0,IN,-4,414447
148,Let It Snow Let It Snow Let It Snow,Dean Martin,"413,878",287.0,US,-6,413878
149,Seja Ex,Henrique & Juliano,"411,324",410.0,BR,-3,411324
150,Ningum Pode Saber,Countrybeat,"410,295",16.0,BR,-7,410295
151,Sugar On My Tongue,"Tyler, The Creator","406,563",113.0,US,-15,406563
152,Where Is My Husband,Raye,"406,538",53.0,GB,+1,406538
153,Bebe E Vem Me Procurar  Quem Ama Sente Saudade,Turma Do Pagode,"406,222",521.0,BR,-2,406222
154,The Chain,Fleetwood Mac,"405,129",154.0,US,+10,405129
155,The Less I Know The Better,Tame Impala,"404,382",1095.0,US,+11,404382
156,Jigar,Sachin,"403,141",1842.0,IN,-4,403141
157,Just In Case,Morgan Wallen,"403,057",235.0,US,+1,403057
158,From The Start,Laufey,"402,933",588.0,US,-12,402933
159,Sure Thing,Miguel,"401,441",875.0,US,-9,401441
160,Broken Window Serenade,Whiskey Myers,"401,205",104.0,US,+9,401205
161,Honey,Taylor Swift,"401,009",39.0,US,-7,401009
162,Mast Magan,Arijit Singh,"399,018",74.0,IN,+4,399018
163,Eldest Daughter,Taylor Swift,"398,188",39.0,US,-6,398188
164,Nobodys Son,Sabrina Carpenter,"396,955",74.0,US,0,396955
165,Dhun,Mithoon,"396,383",118.0,IN,+4,396383
166,Aquele Lugar,Grupo Menos É Mais,"394,865",264.0,BR,-7,394865
167,Afsos,Anuv Jain,"393,787",284.0,IN,-4,393787
168,Just Keep Watching,Tate Mcrae,"393,489",165.0,US,+8,393489
169,Amigo Da Minha Saudade,Henrique & Juliano,"392,156",314.0,BR,-2,392156
170,Fade Into You,Mazzy Star,"391,580",144.0,US,+35,391580
171,Vai Cair Gua,Diego & Arnaldo,"391,428",102.0,BR,-6,391428
172,I Had Some Help,Post Malone,"390,112",550.0,US,-7,390112
173,Dtmf,Bad Bunny,"390,010",310.0,US,-18,390010
174,Werent For The Wind,Ella Langley,"389,931",209.0,US,0,389931
175,Paaro,Aditya Rikhari,"389,867",240.0,IN,-1,389867
176,Good Luck Babe,Chappell Roan,"389,563",585.0,US,-9,389563
177,Vou Pela Madrugada,Mc Negão Original,"387,880",126.0,BR,+15,387880
178,La Perla,Rosalía,"387,834",4.0,US,+28,387834
179,Wondering Why,The Red Clay Strays,"385,260",600.0,US,+11,385260
180,Missed Call,Treaty Oak Revival,"384,441",201.0,US,+4,384441
181,Entregador De Flor,Diego & Victor Hugo,"381,141",429.0,BR,+5,381141
182,Jaane Na Tu,Bhoomi,"376,739",54.0,IN,+4,376739
183,Valentino,Mc Willian,"374,639",74.0,BR,+10,374639
184,Olho Marrom,Luan Santana,"371,518",46.0,BR,+2,371518
185,Azul,Guru Randhawa,"371,320",94.0,IN,-5,371320
186,12 Horas  Pra Voc Acreditar,Panda,"371,199",218.0,BR,-7,371199
187,Sua Boca Mente,Zé Felipe,"370,479",39.0,BR,-4,370479
188,Teri Deewani,Kailash Kher,"369,934",460.0,IN,0,369934
189,Man I Need,Olivia Dean,"363,019",88.0,AU,0,363019
190,069,Haftbefehl,"361,755",117.0,DE,0,361755
191,One Love,Shubh,"360,482",816.0,IN,0,360482
192,Pehli Dafa,Atif Aslam,"360,117",748.0,IN,+4,360117
193,Bandido Problemtico,Dj Gustomares,"357,254",4.0,BR,+13,357254
194,Raat Ke Shikari,Masoom Sharma,"356,582",156.0,IN,-6,356582
195,1999 Pt Iii,Haftbefehl,"356,374",15.0,DE,+1,356374
196,Jigar,Sachin,"355,628",103.0,IN,-1,355628
197,Saudade Burra,Lauana Prado,"353,768",302.0,BR,-9,353768
198,Sang Rahiyo,Jasleen Royal,"351,681",607.0,IN,+3,351681
199,Golden,Huntr/X,"350,664",141.0,GB,-1,350664
200,Back Outside,Sosa La M,"350,068",11.0,DE,+1,350068
201,Mann Mera,Gajendra Verma,"347,963",136.0,IN,+7,347963
202,Sahiba,Jasleen Royal,"347,923",354.0,IN,-2,347923
203,Zaalima,Arijit Singh,"346,695",870.0,IN,-1,346695
204,Caos De Algum,Felipe E Rodrigo,"344,876",115.0,BR,-5,344876
205,Dil Diyan Gallan,Atif Aslam,"343,007",2075.0,IN,+2,343007
206,Tudo Sobre Voc  Ser Mudado,Morada,"340,989",251.0,BR,+57,340989
207,Ranjheya Ve,Zain Zohaib,"339,668",260.0,IN,+5,339668
208,I Run,Haven.,"338,987",8.0,GB,+6,338987
209,Desocupa,Matheus Vargas,"338,078",33.0,BR,-3,338078
210,Gaadi 150,Vikram Sarkar,"337,129",134.0,IN,-7,337129
211,Montagem Camera Lenta,Dj Duarte,"335,086",8.0,BR,+48,335086
212,Dois Gumes,Felipe E Rodrigo,"330,705",4.0,BR,+5,330705
213,Joo 20  Pra Sempre,Vitor Santana,"330,570",226.0,BR,+67,330570
214,Jigar,Sachin,"329,318",12.0,IN,-3,329318
215,So Easy,Olivia Dean,"328,735",46.0,GB,-1,328735
216,Cpia Proibida,Léo Foguete,"328,184",379.0,BR,+2,328184
217,Wavy,Karan Aujla,"327,788",360.0,IN,+1,327788
218,Jo Tere Sang,Jeet Gannguli,"327,614",193.0,IN,+7,327614
219,Retrovisor,Gusttavo Lima,"326,882",89.0,BR,-15,326882
220,Jigar,Sachin,"326,438",516.0,IN,+11,326438
221,Faz Assim,Prod Gomes,"325,440",40.0,BR,+22,325440
222,Jeene Laga Hoon,Atif Aslam,"323,570",424.0,IN,+1,323570
223,Tum Hi Ho,Mithoon,"322,871",574.0,IN,+3,322871
224,Jigar,Sachin,"322,673",36.0,IN,-2,322673
225,Supreme,Shubh,"322,554",205.0,IN,-1,322554
226,Yaari,Masoom Sharma,"319,295",46.0,IN,-8,319295
227,Dentro Da Land Rover,Luan Pereira,"319,064",53.0,BR,-3,319064
228,Mf Gabhru,Karan Aujla,"318,589",102.0,IN,+4,318589
229,Resumindo,Zé Neto & Cristiano,"318,373",172.0,BR,-10,318373
230,Zara Sa,Pritam,"318,297",957.0,IN,0,318297
231,Tu Jaane Na,Atif Aslam,"318,134",1460.0,IN,+5,318134
232,Raabta,Pritam,"318,013",1092.0,IN,+3,318013
233,No  O Lugar  A Pessoa,Xand Avião,"313,727",25.0,BR,-6,313727
234,Tujhe Kitna Chahne Lage,Arijit Singh,"313,358",2355.0,IN,-6,313358
235,Sajde,Faheem Abdullah,"308,893",164.0,IN,+3,308893
236,Satranga,Arijit Singh,"307,492",745.0,IN,-3,307492
237,Vagabundo,Gusttavo Lima,"306,905",32.0,BR,-21,306905
238,Golden,Huntr/X,"306,602",141.0,DE,-2,306602
239,Subhanallah,Pritam,"305,768",952.0,IN,+7,305768
240,Vai No Cho Bandida,Dj Guuh,"303,030",127.0,BR,+18,303030
241,Jigar,Sachin,"301,526",452.0,IN,+3,301526
242,Saudade Proibida,Simone Mendes,"300,627",221.0,BR,-11,300627
243,Sundari,Sanju Rathod,"299,440",52.0,IN,-20,299440
244,Tu S  Guas Purificadoras,Fhop Music,"299,401",590.0,BR,+64,299401
245,Baarishein,Anuv Jain,"299,221",1643.0,IN,+3,299221
246,Winning Speech,Karan Aujla,"298,599",541.0,IN,+4,298599
247,Grau De Maluca,Guilherme & Benuto,"297,213",130.0,BR,-15,297213
248,1999 Pt 5,Haftbefehl,"297,121",22.0,DE,+2,297121
249,1999 Pt 6,Haftbefehl,"296,847",13.0,DE,0,296847
250,Ehsaan,Shankar,"294,399",432.0,IN,+7,294399
251,Tum Se Hi,Pritam,"293,097",2054.0,IN,-3,293097
252,The Fate Of Ophelia,Taylor Swift,"292,577",39.0,AU,0,292577
253,Chikiri Chikiri  Telugu,A.R. Rahman,"291,687",3.0,IN,+19,291687
254,Kabira,Pritam,"291,643",2245.0,IN,+13,291643
255,Ordinary,Alex Warren,"290,267",277.0,GB,-1,290267
256,Vai Tomando Pock Pock,Mc Lele Jp,"289,311",35.0,BR,+5,289311
257,Tumse Behtar,Tanishk Bagchi,"288,949",34.0,IN,+9,288949
258,Humsafar,Akhil Sachdeva,"288,762",650.0,IN,0,288762
259,Raindance,Dave,"288,616",18.0,GB,+1,288616
260,Dil Kaa Jo Haal Hai,Abhijeet,"288,261",89.0,IN,-2,288261
261,Cant Be Us,Prem Dhillon,"288,052",12.0,IN,-7,288052
262,Softly,Karan Aujla,"287,864",814.0,IN,-2,287864
263,Senta Poca,Mc Meno K,"287,445",14.0,BR,0,287445
264,Nice To Each Other,Olivia Dean,"287,003",164.0,GB,-1,287003
265,Russian Bandana,Dhanda Nyoliwala,"286,284",403.0,IN,-1,286284
266,Ich Vermisse Dich,Lune,"284,719",4.0,DE,-2,284719
267,Shree Hanuman Chalisa,Hariharan,"283,226",1187.0,IN,+77,283226
268,Thalapathy Kacheri,Anirudh Ravichander,"282,829",2.0,IN,+12,282829
269,Tempo Perdido,Legião Urbana,"282,253",769.0,BR,+14,282253
270,Tera Hone Laga Hoon,Atif Aslam,"281,934",1644.0,IN,+8,281934
271,Shayad,Pritam,"281,346",2093.0,IN,-3,281346
272,Pal Pal Dil Ke Paas,Kishore Kumar,"280,529",145.0,IN,-17,280529
273,Back To Friends,Sombr,"280,099",243.0,GB,-3,280099
274,Mentira Estampada,Wesley Safadão,"278,792",417.0,BR,-18,278792
275,Ishq Hai,Anurag Saikia,"278,788",331.0,IN,+2,278788
276,Black Ride,Dhanda Nyoliwala,"276,300",30.0,IN,+13,276300
277,Pirocada Quente,Mc Jvila,"276,294",267.0,BR,+22,276294
278,Jhoom Sharaabi,Yo Yo Honey Singh,"273,662",8.0,IN,+36,273662
279,Hawayein,Pritam,"273,112",1503.0,IN,0,273112
280,Mera Hua,Annkur R Pathakk,"272,218",21.0,IN,-4,272218
281,Romntico,Henrique & Juliano,"270,484",369.0,BR,-5,270484
282,De Trs Pra Frente,Henrique & Juliano,"269,251",1127.0,BR,+33,269251
283,The Fate Of Ophelia,Taylor Swift,"268,189",39.0,CA,0,268189
284,Pantera,Mc Jvila,"266,528",33.0,BR,+20,266528
285,Amor Bandido,J. Eskine,"266,149",53.0,BR,+3,266149
286,Mquina Do Tempo,Matuê,"259,700",757.0,BR,+38,259700
287,Ordinary,Alex Warren,"259,600",208.0,BR,+43,259600
288,A Morte Do Autotune,Matuê,"258,206",636.0,BR,+60,258206
289,12 To 12,Sombr,"255,352",109.0,GB,-1,255352
290,I Run,Haven.,"255,322",6.0,AU,+8,255322
291,Ltima Noite,Léo Foguete,"253,261",394.0,BR,-6,253261
292,At Quebrar A Cama 20,Cjnobeat,"253,224",30.0,BR,+20,253224
293,Quarto 67,Guilherme & Benuto,"252,815",53.0,BR,-10,252815
294,Me Ama Ou Me Larga,Simone Mendes,"251,348",284.0,BR,-19,251348
295,Quem  Esse,Julliany Souza,"250,381",221.0,BR,+72,250381
296,Segundo Amor Da Sua Vida,Marília Mendonça,"249,301",18.0,BR,-7,249301
297,Todo Mundo Menos Eu,Hugo & Guilherme,"248,271",67.0,BR,-19,248271
298,Eu At Gosto De Voc,Mc Jacaré,"247,885",163.0,BR,+5,247885
299,Yeshua,Songs Five Music,"246,853",177.0,BR,+106,246853
300,Santo Pra Sempre,Gabriel Guedes De Almeida,"245,663",132.0,BR,+90,245663
301,Artista Genrico,Veigh,"243,967",137.0,BR,+64,243967
302,Fui Mlk,Nilo,"242,293",352.0,BR,+6,242293
303,Golden,Huntr/X,"240,035",142.0,AU,-1,240035
304,Como  Que A Gente Fica,Henrique & Juliano,"239,483",1362.0,BR,+6,239483
305,Lenol De Seda,Luan Pereira,"239,428",4.0,BR,-27,239428
306,No Broke Boys,Disco Lines,"239,330",153.0,GB,+1,239330
307,Ordinary,Alex Warren,"237,158",277.0,DE,0,237158
308,No Broke Boys,Disco Lines,"236,479",156.0,AU,-1,236479
309,Senta Olhando Pra Mim,Dj Arana,"232,076",127.0,BR,+102,232076
310,Mtg Perna Bamba X Piranhas Do Helipa,Detagaz,"231,422",64.0,BR,+43,231422
311,Opalite,Taylor Swift,"231,239",39.0,GB,-1,231239
312,I Run,Haven.,"229,997",7.0,DE,+20,229997
313,Where Is My Husband,Raye,"229,666",53.0,DE,0,229666
314,In The End,Linkin Park,"228,846",461.0,BR,+86,228846
315,Boa Noite Povo,Theuzzin,"228,420",22.0,BR,+37,228420
316,Bilhete 20,Rashid,"228,065",284.0,BR,0,228065
317,Back To Friends,Sombr,"227,266",233.0,DE,-2,227266
318,Quarta Cadeira,Matheus & Kauan,"226,911",813.0,BR,-10,226911
319,A Grama Do Vizinho,Bruno Rosa,"225,715",112.0,BR,+5,225715
320,Dont Say You Love Me,Jin,"224,780",174.0,BR,+27,224780
321,Msicas De Amor Nunca Mais,Bk,"224,297",216.0,BR,+60,224297
322,Neon,Ana Castela,"222,183",4.0,BR,-33,222183
323,Pelo Bem Da Minha Saudade,Gusttavo Lima,"222,008",89.0,BR,-41,222008
324,Eu Tenho Voc,Incendiários,"221,866",94.0,BR,0,221866
325,Radw,Haftbefehl,"221,047",116.0,DE,-1,221047
326,Cantada Boba,Jorge & Mateus,"220,635",368.0,BR,-13,220635
327,Olha Onde Eu T,Ana Castela,"220,065",165.0,BR,-21,220065
328,Dois Enganados,Murilo Huff,"218,163",816.0,BR,+10,218163
329,Tarde Demais  Mgica  Oh Chuva,Grupo Menos É Mais,"218,023",106.0,BR,-44,218023
330,Hoje Eu Contei 100K No 7,Dj Japa Nk,"218,002",5.0,BR,+12,218002
331,Sobe Na Moto Roubadona,Dj Kelvinho Da Zs,"216,364",78.0,BR,+32,216364
332,Esquadrilha Da Fumaa,Mc Jacaré,"215,766",14.0,BR,-13,215766
333,Golden,Huntr/X,"210,929",141.0,CA,0,210929
334,So Easy,Olivia Dean,"209,927",46.0,AU,-1,209927
335,No Broke Boys,Disco Lines,"205,732",124.0,DE,-1,205732
336,Undressed,Sombr,"200,190",232.0,GB,+2,200190
337,Phantom,Esdeekid,"197,589",57.0,GB,+2,197589
338,Where Is My Husband,Raye,"190,383",53.0,AU,0,190383
339,Love Me Not,Ravyn Lenae,"189,148",267.0,GB,-1,189148
340,Chabos Wissen Wer Der Babo Ist,Haftbefehl,"188,803",13.0,DE,+2,188803
341,Pussy Palace,Lily Allen,"188,608",18.0,GB,+4,188608
342,12 To 12,Sombr,"188,025",109.0,AU,+1,188025
343,Die On This Hill,Sienna Spiro,"187,810",32.0,GB,+4,187810
344,Back To Friends,Sombr,"187,598",240.0,AU,-1,187598
